"제목","입력날짜","수정날짜","사용여부","게시물번호(pk)","상세정보링크"
"오늘 마포자원회수시설을 다녀온....(...)...","2006-12-08 13:07:58.0","2006-12-08 13:12:24.0","Y","661","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=661"
"코를 막고.........","2006-12-02 00:30:50.0","","Y","621","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=621"
"우리도 함께 웃습니다~!!","2006-11-23 11:03:10.0","","Y","601","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=601"
"마포자원회수시설","2006-11-22 22:19:38.0","","Y","582","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=582"
"친절한 설명 감사했습니다~~","2006-11-22 20:36:58.0","","Y","581","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=581"
"마포 자원회수시설에 갔다와서","2006-11-12 23:16:18.0","","Y","561","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=561"
"환경테마투어를 다녀와서..","2006-11-11 22:45:20.0","2006-11-12 00:24:11.0","Y","541","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=541"
"견학 후기","2006-11-10 17:55:34.0","2006-11-10 18:00:32.0","Y","521","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=521"
"[견학후기]마포 자원회수시설 견학후기","2006-11-06 02:10:31.0","","Y","501","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=501"
"마포자원회수시설에 다녀 와서","2006-10-21 07:45:01.0","","Y","481","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=481"
"마포 자원회수시설을 다녀와서","2006-10-20 23:41:36.0","","Y","464","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=464"
